Afvalstroomnummer,Verwerkersnummer Locatie van Bestemming (LvB),LvB KvK nummer,LvB Bedrijfsnaam,LvB Adres,LvB Postcode/Plaats,Handelsregisternummer Ontdoener,Naam Ontdoener,Land Ontdoener,LocatieHerkomst Straatnaam,LocatieHerkomst Huisnummer,LocatieHerkomst HuisnummerToevoeging,LocatieHerkomst Postcode,LocatieHerkomst Plaats,LocatieHerkomst Nabijheidsbeschrijving,LocatieHerkomst Land,Euralcode,Euralcode Omschrijving,Gebruikelijke Naam Afvalstof,VerwerkingsMethode Code,VerwerkingsMethode Omschrijving,Routeinzameling,Inzamelaarsregeling,Particuliere Ontdoener
087970000155,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,27222194,Beekenkamp Plants B.V.,Nederland,Korte Kruisweg,141,C,2676BS,MAASDIJK,,Nederland,170401,"koper, brons en messing","koper, brons en messing",A02,Overslag / opbulken,N,N,N
087970000156,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,27222194,Beekenkamp Plants B.V.,Nederland,Korte Kruisweg,141,C,2676BS,MAASDIJK,,Nederland,170405,ijzer en staal,ijzer en staal,A02,Overslag / opbulken,N,N,N
087970000159,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,24164590,Autobedrijf Schalkoort B.V.,Nederland,Zekkenweg,80,,3151ZC,HOEK VAN HOLLAND,,Nederland,170405,ijzer en staal,ijzer en staal,A02,Overslag / opbulken,N,N,N
087970000161,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,27220505,Prins Mechanisatie B.V.,Nederland,Tuindersweg,37,,2676BD,MAASDIJK,,Nederland,170405,ijzer en staal,ijzer en staal,A02,Overslag / opbulken,N,N,N
087970000167,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,24281717,Autoschade Herstel Naaldwijk B.V.,Nederland,Ambachtstraat,1,C,2671CN,NAALDWIJK,,Nederland,170405,ijzer en staal,ijzer en staal,A02,Overslag / opbulken,N,N,N
087970000167,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,24281717,Autoschade Herstel Naaldwijk B.V.,Nederland,Ambachtstraat,1,C,2671CN,NAALDWIJK,,Nederland,170405,ijzer en staal,ijzer en staal,A02,Overslag / opbulken,N,N,N
087970000169,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,24281717,Autoschade Herstel Naaldwijk B.V.,Nederland,Ambachtstraat,1,C,2671CN,NAALDWIJK,,Nederland,170405,ijzer en staal,ijzer en staal,A02,Overslag / opbulken,N,N,N
087970000177,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,27213812,Rexnord FlatTop Europe B.V.,Nederland,Einsteinstraat,1,,2691GV,'S-GRAVENZANDE,,Nederland,170405,ijzer en staal,ijzer en staal,A02,Overslag / opbulken,N,N,N
087970000177,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,27213812,Rexnord FlatTop Europe B.V.,Nederland,Einsteinstraat,1,,2691GV,'S-GRAVENZANDE,,Nederland,170405,ijzer en staal,ijzer en staal,A02,Overslag / opbulken,N,N,N
087970000179,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,67732283,Moerman Lilium B.V.,Nederland,Kanaalweg,4,b,2678LX,DE LIER,,Nederland,170405,ijzer en staal,ijzer en staal,A02,Overslag / opbulken,N,N,N
